"Jahr" "Anzahl_Lebendgeburten"
"1" 1946 921677
"2" 1947 1028696
"3" 1948 1049385
"4" 1949 1106825
"5" 1950 1116701
"6" 1951 1106380
"7" 1952 1105084
"8" 1953 1095029
"9" 1954 1109743
"10" 1955 1113408
"11" 1956 1137169
"12" 1957 1165555
"13" 1958 1175870
"14" 1959 1243922
"15" 1960 1261614
"16" 1961 1313505
"17" 1962 1316534
"18" 1963 1355595
"19" 1964 1357304
"20" 1965 1325386
"21" 1966 1318303
"22" 1967 1272276
"23" 1968 1214968
"24" 1969 1142366
"25" 1970 1047737
"26" 1971 1013396
"27" 1972 901657
"28" 1973 815969
"29" 1974 805500
"30" 1975 782310
"31" 1976 798334
"32" 1977 805496
"33" 1978 808619
"34" 1979 817217
"35" 1980 865789
"36" 1981 862100
"37" 1982 861275
"38" 1983 827933
"39" 1984 812292
"40" 1985 813803
"41" 1986 848232
"42" 1987 867969
"43" 1988 892993
"44" 1989 880459
"45" 1990 905675
"46" 1991 830019
"47" 1992 809114
"48" 1993 798447
"49" 1994 769603
"50" 1995 765221
"51" 1996 796013
"52" 1997 812173
"53" 1998 785034
"54" 1999 770744
"55" 2000 766999
"56" 2001 734475
"57" 2002 719250
"58" 2003 706721
"59" 2004 705622
"60" 2005 685795
"61" 2006 672724
"62" 2007 684862
"63" 2008 682514
"64" 2009 665126
"65" 2010 677947
"66" 2011 662685
"67" 2012 673544
"68" 2013 682069
"69" 2014 714927
"70" 2015 737575
"71" 2016 792141
"72" 2017 784901
"73" 2018 787523
"74" 2019 778090
